Code,Description,Defined Category,Area,Type
31719,Thrombolysis catheter lower extremity vein,Thrombolysis/Thrombectomy,Venous Interventions,Venous thrombolysis - initial
31720,Thrombolysis catheter upper extremity vein,Thrombolysis/Thrombectomy,Venous Interventions,Venous thrombolysis - initial
31721,Thrombolysis catheter SVC,Thrombolysis/Thrombectomy,Venous Interventions,Venous thrombolysis - initial
31722,Thrombolysis catheter IVC,Thrombolysis/Thrombectomy,Venous Interventions,Venous thrombolysis - initial
31723,Thrombolysis catheter visceral/renal vein,Thrombolysis/Thrombectomy,Venous Interventions,Venous thrombolysis - initial
31726,Mechanical thrombectomy peripheral vein,Thrombolysis/Thrombectomy,Venous Interventions,Venous mechanical thrombectomy
31727,Mechanical thrombectomy lower extremity vein,Thrombolysis/Thrombectomy,Venous Interventions,Venous mechanical thrombectomy
31728,Mechanical thrombectomy upper extremity vein,Thrombolysis/Thrombectomy,Venous Interventions,Venous mechanical thrombectomy
31729,Mechanical thrombectomy SVC,Thrombolysis/Thrombectomy,Venous Interventions,Venous mechanical thrombectomy
31730,Mechanical thrombectomy IVC,Thrombolysis/Thrombectomy,Venous Interventions,Venous mechanical thrombectomy
31731,Mechanical thrombectomy visceral/renal vein,Thrombolysis/Thrombectomy,Venous Interventions,Venous mechanical thrombectomy
31756,Pulmonary artery thrombolysis,Thrombolysis/Thrombectomy,Pulmonary Arterial Interventions,Pulmonary artery thrombolysis
31758,Pulmonary artery thrombectomy,Thrombolysis/Thrombectomy,Pulmonary Arterial Interventions,Pulmonary artery thrombectomy
31769,Portal vein thrombectomy,Thrombolysis/Thrombectomy,Portal Interventions,Portal vein thrombectomy
31770,Portal vein thrombolysis - initial,Thrombolysis/Thrombectomy,Portal Interventions,Portal vein thrombolysis - initial
31784,Venous access thrombolysis,Thrombolysis/Thrombectomy,Venous Access General,Venous access thrombolysis
31763,TIPS primary,TIPS or TIPS Revision,Portal Interventions,TIPS
31764,TIPS revision PTA,TIPS or TIPS Revision,Portal Interventions,TIPS
31765,TIPS revision thrombolysis,TIPS or TIPS Revision,Portal Interventions,TIPS
31766,TIPS revision stent,TIPS or TIPS Revision,Portal Interventions,TIPS
31912,Chemical ablation of tumor,Tumor Ablation,Tumor Ablation,Chemical ablation of tumor
31913,Thermal ablation - hepatic tumor,Tumor Ablation,Body Procedures,Thermal ablation visceral organ tumor
31914,Thermal ablation - splenic tumor,Tumor Ablation,Tumor Ablation,Thermal ablation visceral organ tumor
